t_h,T_cama_C,T_aire_C,CO2_ppm,CH4_ppm,T_cama_sensor,T_aire_sensor,CO2_sensor_ppm,CH4_sensor_ppm
1.840000000000000000e+02,3.048622374336302343e+01,2.741668731838550954e+01,1.452541885262663891e+04,1.999999994265446279e+00,3.061485067490150769e+01,2.723914818724259845e+01,1.368136117258962986e+04,2.196048453781624055e+00
1.850000000000000000e+02,3.056416522782057399e+01,2.745102294310485291e+01,1.466334775681365318e+04,2.000000001824711937e+00,3.102489202541937274e+01,2.771817981036889833e+01,1.495657336216392105e+04,1.877200013630424991e+00
1.860000000000000000e+02,3.064200136962039878e+01,2.748531223023169545e+01,1.480053774854274161e+04,2.000000002529394028e+00,3.069697170078697113e+01,2.744704343289268422e+01,1.436450528375272916e+04,1.907346691296500696e+00
1.870000000000000000e+02,3.071969848374666867e+01,2.751954033843617609e+01,1.493693562205872513e+04,2.000000003317456532e+00,3.035235777423051928e+01,2.780030461684948762e+01,1.429062974199066957e+04,2.148491882237149486e+00
1.880000000000000000e+02,3.079722095738533127e+01,2.755369157799075808e+01,1.507247893620967807e+04,2.000000001307135733e+00,3.038677319761163176e+01,2.746518443561232203e+01,1.504606686892874313e+04,1.894171896154206225e+00
1.890000000000000000e+02,3.087453760359275989e+01,2.758775220792357885e+01,1.520712049550973643e+04,1.999999998255572287e+00,3.136981598326213572e+01,2.787876132317772004e+01,1.524543377261183741e+04,1.867745885041758314e+00
1.900000000000000000e+02,3.095161443852696337e+01,2.762170725559657214e+01,1.534080445319364298e+04,1.999999995943346764e+00,3.146871415476195111e+01,2.764800441895766170e+01,1.502163617946001250e+04,1.951380582972058075e+00
1.910000000000000000e+02,3.102842028392268858e+01,2.765554298357571739e+01,1.547348435774938662e+04,1.999999996029175220e+00,3.097456451993790694e+01,2.770718874824025590e+01,1.585925311126189081e+04,2.042022666893201777e+00
1.920000000000000000e+02,3.110492690168252494e+01,2.768924694874175074e+01,1.560512275356690225e+04,1.999999993562570744e+00,3.098997070534172948e+01,2.800219055307573157e+01,1.497677850672669047e+04,1.989760322934419623e+00
1.930000000000000000e+02,3.118110530562612581e+01,2.772280637866018083e+01,1.573568174605711465e+04,1.999999995106375161e+00,3.161953859329878469e+01,2.765045228317134729e+01,1.554357562648014209e+04,1.934943633224996518e+00
1.940000000000000000e+02,3.125692871074647528e+01,2.775620947152931350e+01,1.586512413857492902e+04,1.999999999382943594e+00,3.092481500613342860e+01,2.756798505234432284e+01,1.558675111589031985e+04,1.932578753231294133e+00
1.950000000000000000e+02,3.133237183868953579e+01,2.778944509029699006e+01,1.599341221881781894e+04,2.000000001113992454e+00,3.106395373300278706e+01,2.769973224869131911e+01,1.597105953625722213e+04,1.928766294633044609e+00
1.960000000000000000e+02,3.140741052446154669e+01,2.782250258626904937e+01,1.612051951200804433e+04,2.000000002635516250e+00,3.160040856286826028e+01,2.791296937639767606e+01,1.625538262626378310e+04,1.912049039653723748e+00
1.970000000000000000e+02,3.148202209453176792e+01,2.785537196869014309e+01,1.624641652081997927e+04,2.000000003615185040e+00,3.136364055767388948e+01,2.754222015425403924e+01,1.575517706078052106e+04,2.228163291755217212e+00
1.980000000000000000e+02,3.155618525138481445e+01,2.788804385296356614e+01,1.637107713660648733e+04,2.000000003577979246e+00,3.155464869136879358e+01,2.801553803349379024e+01,1.672679576404680120e+04,2.029751110749759224e+00
1.990000000000000000e+02,3.162988006708384958e+01,2.792050945776371051e+01,1.649447977554876343e+04,2.000000001814598694e+00,3.158084719752649505e+01,2.781275519424016096e+01,1.652565551425801459e+04,2.088675907335528326e+00
2.000000000000000000e+02,3.170308835379289292e+01,2.795276076664907094e+01,1.661660926915048549e+04,2.000000000176799908e+00,3.180436071843257295e+01,2.818232329879578302e+01,1.567347731966496758e+04,1.951092253360584117e+00
2.010000000000000000e+02,3.177579310977015226e+01,2.798479028663708590e+01,1.673745083051306574e+04,1.999999999015853014e+00,3.219803766816426815e+01,2.750593822565699043e+01,1.575399599259179377e+04,1.981404331306398481e+00
